numero_guia;id_clinica;created_at;id_pet;id_plano;observacao;id_prestador;id_procedimento;valor_momento;justificativa;laudo;imagem_laudo;autorizacao;tipo_atendimento;status;updated_at
83709;3;2017-08-23;1020480111;18;;0;10100;0.70;;;;;;LIBERADO;
82559;3;2017-08-17;1020570102;19;NAO REALIALIZOU O PROCEDIMENTO;0;10100;0.70;;;;;;RECUSADO;
83929;10;2017-08-24;1015490163;11;;77;211113;0.25;;;;;;LIBERADO;
83909;10;2017-08-24;1015490163;11;;0;10100;0.70;;;;;;LIBERADO;
82689;51;2017-08-17;1011530233;3;;0;10100;0.70;;;;;;LIBERADO;
82079;3;2017-08-15;1010170225;11;;88;211114;0.10;;;;;;LIBERADO;
82079;3;2017-08-15;1010170225;11;;88;251001;0.14;;;;;;LIBERADO;
82029;3;2017-08-15;1010170225;11;NAO REALIALIZOU O PROCEDIMENTO;0;10100;0.70;;;;;;RECUSADO;
82059;3;2017-08-15;1010170225;11;;0;10100;0.70;;;;;;LIBERADO;
84379;189;2017-08-28;1010170225;11;;178;221002;0.30;;;;;;LIBERADO;
84379;189;2017-08-28;1010170225;11;;178;221001;0.60;;;;;;LIBERADO;
83669;3;2017-08-23;1013820140;10;;34;211114;0.10;;;;;;LIBERADO;
83669;3;2017-08-23;1013820140;10;;34;251025;0.12;;;;;;LIBERADO;
83669;3;2017-08-23;1013820140;10;;34;251039;0.12;;;;;;LIBERADO;
83669;3;2017-08-23;1013820140;10;;34;251029;0.12;;;;;;LIBERADO;
83659;3;2017-08-23;1013820140;10;;0;10100;0.70;;;;;;LIBERADO;
84129;189;2017-08-25;1020330136;19;;178;10809;6.00;;;;;;LIBERADO;
82719;51;2017-08-17;1018730181;11;;35;211114;0.10;;;;;;LIBERADO;
82729;51;2017-08-17;1018730181;11;;0;10100;0.70;;;;;;LIBERADO;
82709;51;2017-08-17;1018730181;11;NEGATIVA DE AUTORIZACAO;0;10104;0.85;;;;;;RECUSADO;
82859;197;2017-08-18;1018730181;11;;197;251001;0.16;;;;;;LIBERADO;
83289;189;2017-08-21;1018730181;11;;224;261043;1.20;;;;;;LIBERADO;
82469;31;2017-08-16;1017550155;10;;31;261086;1.80;;;;;;LIBERADO;
83009;24;2017-08-19;1020060163;20;;24;211114;0.10;;;;;;LIBERADO;
83019;197;2017-08-19;1020060163;20;;197;251041;0.40;;;;;;LIBERADO;
83009;24;2017-08-19;1020060163;20;;24;10100;0.70;;;;;;LIBERADO;
82289;3;2017-08-15;1017940298;11;;80;211114;0.10;;;;;;LIBERADO;
82289;3;2017-08-15;1017940298;11;;80;251041;0.35;;;;;;LIBERADO;
82279;3;2017-08-15;1017940298;11;;0;10100;0.70;;;;;;LIBERADO;
83619;189;2017-08-23;1016990186;11;;178;221002;0.30;;;;;;LIBERADO;
83619;189;2017-08-23;1016990186;11;;178;221003;0.60;;;;;;LIBERADO;
83619;189;2017-08-23;1016990186;11;;178;221001;0.60;;;;;;LIBERADO;
83779;189;2017-08-23;1016990186;11;;178;10100;1.00;;;;;;LIBERADO;
83839;197;2017-08-24;1016990186;11;;197;251041;0.40;;;;;;LIBERADO;
83629;189;2017-08-23;1016970151;11;;178;211114;0.20;;;;;;LIBERADO;
83639;189;2017-08-23;1016970151;11;;178;221002;0.30;;;;;;LIBERADO;
83639;189;2017-08-23;1016970151;11;;178;221003;0.60;;;;;;LIBERADO;
83639;189;2017-08-23;1016970151;11;;178;221001;0.60;;;;;;LIBERADO;
