competencia;vencimento;data_pagamento;valor_original;valor_pago;id_cliente
2017/05;25/05/2017;25/05/2017;89,9;89,9;1007910001
2017/03;25/03/2017;27/03/2017;89,9;89,9;1007910001
2017/04;25/04/2017;25/04/2017;89,9;89,9;1007910001
2016/10;25/10/2016;25/10/2016;89,9;89,9;1007910001
2016/12;27/12/2016;26/12/2016;89,9;98,94;1007910001
2016/12;27/12/2016;27/12/2016;89,9;98,94;1007910001
2017/02;25/02/2017;01/03/2017;89,9;89,9;1007910001
2017/06;25/06/2017;26/06/2017;89,9;89,9;1007910001
2017/07;27/07/2017;27/07/2017;89,9;98,94;1007910001
2017/01;10/01/2017;10/01/2017;89,9;89,9;1007930028
2016/10;15/10/2016;11/10/2016;139,9;139,9;1007930028
2017/02;10/02/2017;10/02/2017;89,9;89,9;1007930028
2017/03;10/03/2017;10/03/2017;89,9;89,9;1007930028
2016/12;10/12/2016;09/12/2016;89,9;89,9;1007930028
2016/11;10/11/2016;10/11/2016;89,9;89,9;1007930028
2017/06;10/06/2017;12/06/2017;44,95;44,95;1007970089
2017/07;13/07/2017;11/07/2017;54,65;54,65;1007970089
2017/04;10/04/2017;10/04/2017;44,95;44,95;1007970089
2017/05;10/05/2017;08/05/2017;40,46;40,46;1007970089
2017/03;10/03/2017;03/03/2017;44,95;44,95;1007970089
2016/12;10/12/2016;05/12/2016;47,97;47,97;1007970089
2016/11;10/11/2016;11/11/2016;22,47;24,72;1007970089
2016/10;17/10/2016;14/10/2016;22,48;22,48;1007970089
2017/01;10/01/2017;05/01/2017;44,95;44,95;1007970089
2017/02;10/02/2017;10/02/2017;44,95;44,95;1007970089
2017/08;10/08/2017;08/08/2017;54,65;54,65;1007970089
2017/01;10/01/2017;04/01/2017;89,9;89,9;1008000091
2017/05;10/05/2017;08/05/2017;89,9;89,9;1008000091
2016/10;18/10/2016;08/11/2016;139,9;154,94;1008000091
2017/02;10/02/2017;10/02/2017;89,9;89,9;1008000091
2017/06;10/06/2017;07/06/2017;89,9;89,9;1008000091
2017/03;10/03/2017;10/03/2017;89,9;89,9;1008000091
2016/12;10/12/2016;05/12/2016;89,9;89,9;1008000091
2017/07;10/07/2017;06/07/2017;89,9;89,9;1008000091
2016/11;10/11/2016;08/11/2016;89,9;89,9;1008000091
2017/04;10/04/2017;10/04/2017;89,9;89,9;1008000091
2017/08;10/08/2017;03/08/2017;89,9;89,9;1008000091
2017/06;10/06/2017;12/06/2017;69,9;69,9;1008020017
2017/04;10/04/2017;07/04/2017;69,9;69,9;1008020017
2017/03;10/03/2017;07/03/2017;93,2;93,2;1008020017
2017/02;17/02/2017;17/02/2017;93,2;93,2;1008020017
2017/05;10/05/2017;10/05/2017;69,9;69,9;1008020017
2016/10;14/10/2016;13/10/2016;69,9;76,95;1008020017
2016/12;10/12/2016;10/01/2017;69,9;69,9;1008020017
2016/11;10/11/2016;08/11/2016;69,9;69,9;1008020017
2017/07;10/07/2017;10/07/2017;69,9;69,9;1008020017
2017/01;10/01/2017;10/01/2017;93,2;93,2;1008020017
2017/08;10/08/2017;09/08/2017;69,9;69,9;1008020017
2017/03;10/03/2017;30/08/2016;359,6;359,6;1008030080
2016/10;13/10/2016;13/10/2016;287,68;287,68;1008030080
2017/02;17/02/2017;17/02/2017;179,8;179,8;1008090066
2016/10;10/10/2016;11/10/2016;89,9;98,92;1008090066
2016/10;20/10/2016;08/11/2016;109,9;121,65;1008100045
2016/12;10/12/2016;12/12/2016;109,9;109,9;1008100045
2016/11;10/11/2016;10/11/2016;109,9;109,9;1008100045
2016/11;25/11/2016;24/11/2016;69,9;69,9;1008110016
2017/05;25/05/2017;24/05/2017;69,9;69,9;1008110016
2017/04;25/04/2017;17/04/2017;69,9;69,9;1008110016
2017/03;25/03/2017;15/03/2017;69,9;69,9;1008110016
2016/12;25/12/2016;16/12/2016;69,9;69,9;1008110016
2016/10;25/10/2016;25/10/2016;119,9;119,9;1008110016
2016/10;25/10/2016;25/10/2016;119,9;119,9;1008110016
2017/02;25/02/2017;22/02/2017;69,9;69,9;1008110016
2017/06;25/06/2017;19/06/2017;69,9;69,9;1008110016
2017/01;25/01/2017;17/01/2017;69,9;69,9;1008110016
2017/07;25/07/2017;17/07/2017;69,9;69,9;1008110016
2017/06;10/06/2017;12/06/2017;69,9;69,9;1008130033
2017/04;10/04/2017;07/04/2017;69,9;69,9;1008130033
